day,siconc,f107,scnum,iprp,tsi,kp,ap,huss,scph,iprg,ssn,iprm,tas
21184,21.15475853062132,257.0,19.0,10420240.0,1362.3264,4.7375,47.499996,0.0069058277,0.70803875,44026.164,199.56517,76430980000.0,277.20465
21185,21.11848949649883,263.0,19.0,5668143.0,1362.0792,3.325,20.5,0.0068988022,0.70856243,44007.703,199.54785,31642622000.0,277.1164
21186,21.08222324108036,262.0,19.0,3665231.5,1362.1681,1.0500001,4.125,0.0068980474,0.7090861,43989.37,199.52968,2052299600.0,277.0299
21187,21.04595698566189,261.0,19.0,5296221.0,1362.3098,0.8000001,3.375,0.0068949675,0.70960987,43971.184,199.51064,1066801400.0,276.90155
21188,21.009690730243413,246.0,19.0,3536800.5,1362.4253,1.575,6.5,0.0069265384,0.71013355,43953.133,199.49072,3585261000.0,276.90155
21189,20.973418917416918,254.0,19.0,4866314.5,1362.179,1.8375,7.0,0.0069492916,0.71065724,43935.215,199.46991,4122417700.0,277.07593
21190,20.937156830054462,255.0,19.0,6978619.5,1361.996,1.6750001,6.375,0.0069777197,0.7111809,43917.426,199.44823,3514060300.0,277.31097
21191,20.900889185283983,255.0,19.0,3135615.5,1361.8314,1.4125,5.25,0.00697124,0.7117046,43899.773,199.4257,2481504500.0,277.57202
21192,20.864621540513504,259.0,19.0,2883594.5,1361.8822,2.4875,12.125,0.0069926986,0.71222836,43882.258,199.40228,11326587000.0,277.87762
21193,20.828355285095032,274.0,19.0,1583773.2,1361.7251,2.175,9.75,0.0070394306,0.71275204,43864.87,199.37799,7889927000.0,278.0425
21194,20.79208902967656,273.0,19.0,1440442.6,1362.1403,2.6,12.25,0.0070804534,0.71327573,43847.617,199.35281,11535693000.0,277.99286
21195,20.75582138490608,290.0,19.0,3940737.8,1361.8441,2.8375,13.625,0.007090456,0.7137994,43830.496,199.32684,13920187000.0,277.8729
21196,20.719557908191618,310.0,19.0,1492899.0,1361.3518,2.9625,15.5,0.0070627565,0.7143231,43813.508,199.30003,17384483000.0,277.82935
21197,20.683288874069135,321.0,19.0,5635718.5,1360.7014,2.7625,15.125,0.0070546493,0.7148468,43796.645,199.27242,16736447000.0,277.85916
21198,20.647021229298655,309.0,19.0,6249864.5,1361.4418,3.0124998,15.375,0.007058028,0.71537054,43779.914,199.24397,17147040000.0,277.924
21199,20.610757752584195,297.0,19.0,5665982.0,1361.1158,2.7125,13.375001,0.0070426506,0.7158942,43763.312,199.21498,13760713000.0,277.83435
21200,20.610757752584195,285.0,19.0,5483000.0,1361.7432,3.65,22.0,0.0070076496,0.7164179,43746.832,199.18517,30412648000.0,277.79657
21201,20.603512281871733,260.0,19.0,15618860.0,1362.4456,4.0375,29.500002,0.007007504,0.7169416,43730.484,199.15485,45297775000.0,277.92685
21202,20.59626542180727,238.0,19.0,11016846.0,1362.2688,2.5875,11.499999,0.0070198546,0.7174653,43714.26,199.12375,11949287000.0,278.03973
21203,20.58901995109481,251.0,19.0,6731457.5,1362.2511,3.1625,20.0,0.0070300736,0.717989,43698.17,199.09183,26320736000.0,278.1978
21204,20.581777259086362,239.0,19.0,3434597.8,1362.2451,3.725,33.375,0.007037948,0.7185127,43682.2,199.0592,52422717000.0,278.22333
21205,20.57452900966989,227.0,19.0,5976758.0,1362.2756,3.2499998,19.125,0.007040597,0.7190364,43666.35,199.02573,26917112000.0,278.23987
21206,20.56728770701345,210.0,19.0,3338286.5,1362.4858,3.575,21.5,0.0070502413,0.7195601,43650.637,198.99153,29388757000.0,278.3236
21207,20.560040846948983,211.0,19.0,4582449.0,1362.5131,2.3000002,11.625,0.0070808474,0.7200838,43635.03,198.95663,11545419000.0,278.46704
21208,20.552798154940536,206.0,19.0,12006362.0,1362.551,3.1625,18.75,0.0070807743,0.72060746,43619.56,198.92097,23782260000.0,278.6469
21209,20.54555129487607,220.0,19.0,7037209.5,1362.327,2.8125002,16.125,0.0070796274,0.7211312,43604.203,198.88461,19017867000.0,278.4874
21210,20.538308602867623,200.0,19.0,16423815.0,1362.1313,1.9124999,8.25,0.007085828,0.7216549,43588.973,198.84752,6232623000.0,278.35526
21211,20.53106313215516,189.0,19.0,25838596.0,1362.2239,1.7875,7.3749995,0.0071072057,0.7221786,43573.86,198.80974,4632167000.0,278.2113
21212,20.5238162720907,194.0,19.0,33256168.0,1362.3649,2.725,13.749999,0.0071125966,0.72270226,43558.867,198.77126,14144002000.0,277.99686
21213,20.516574969434256,181.0,19.0,367579040.0,1362.6055,2.0875,9.0,0.007102416,0.72322595,43543.996,198.73209,7034012700.0,277.68744
21214,20.509329498721797,187.0,19.0,1795012100.0,1362.5583,2.0875,8.375,0.007082071,0.7237497,43529.246,198.6923,5830422000.0,277.54443
21215,20.502084028009335,195.0,19.0,3293481200.0,1362.6338,2.0875,8.875,0.007051686,0.7242734,43514.605,198.65187,6418094000.0,277.59946
21216,20.49484133600089,217.0,19.0,1959096000.0,1362.354,2.0374997,8.75,0.0070261466,0.72479707,43500.09,198.6108,6265798000.0,277.67688
21217,20.487597254640434,222.0,19.0,155636480.0,1362.1622,1.575,6.375,0.0070260707,0.72532076,43485.688,198.5691,3652446700.0,277.61322
21218,20.480353173279983,233.0,19.0,21470862.0,1361.8383,2.8,16.75,0.00705439,0.72584444,43471.402,198.5268,19799163000.0,277.4537
21219,20.47310770256752,249.0,19.0,33187924.0,1361.4918,4.1375,29.75,0.007079386,0.7263682,43457.234,198.48383,45771526000.0,277.40527
21220,20.465865010559074,252.0,19.0,29125946.0,1361.5815,4.15,30.125,0.0071029644,0.7268919,43443.18,198.44034,46478758000.0,277.4751
21221,20.45861815049461,257.0,19.0,12734349.0,1361.643,3.875,25.25,0.0071136495,0.72741556,43429.242,198.39624,38132842000.0,277.62173
21222,20.45137267978215,250.0,19.0,10457561.0,1361.9777,3.9750001,26.625,0.0071185986,0.72793925,43415.414,198.35161,39734110000.0,277.64163
21223,20.444125819717684,234.0,19.0,6177654.0,1361.8927,3.2125,18.125,0.007112736,0.72846293,43401.7,198.30641,23968864000.0,277.5494
21224,20.436883127709237,231.0,19.0,8225564.0,1361.8915,3.4624999,23.75,0.0071086246,0.7289866,43388.098,198.26068,33981065000.0,277.43765
21225,20.42963765699678,228.0,19.0,4315732.0,1362.0992,7.45,199.375,0.007084788,0.72951037,43374.605,198.21442,214697890000.0,277.33475
21226,20.422390796932312,226.0,19.0,4200002.5,1361.7915,5.2875,59.375,0.00706633,0.73003405,43361.23,198.16765,113354850000.0,277.27557
21227,20.41514949427587,222.0,19.0,2218104.2,1361.9115,3.2125,18.25,0.0070570167,0.73055774,43347.96,198.12035,27996279000.0,277.2505
21228,20.40790402356341,210.0,19.0,2677528.2,1361.8699,3.4875,22.875,0.007041125,0.7310814,43334.8,198.07256,32201482000.0,277.26697
21229,20.40790402356341,202.0,19.0,2291967.0,1362.2289,2.0,8.125,0.0070335492,0.7316051,43321.75,198.02403,6429586000.0,277.5685
21230,20.362870956985663,187.0,19.0,1994169.5,1362.2043,2.6125,13.75,0.0070284843,0.73212886,43308.81,197.97444,14144360000.0,277.71063
21231,20.3178351117039,183.0,19.0,3730660.0,1362.2803,4.225,30.875,0.0070217084,0.73265254,43295.973,197.92435,47881700000.0,277.7474
21232,20.27279926642214,177.0,19.0,2127741.0,1362.3646,4.2,31.75,0.0069992486,0.73317623,43283.246,197.87373,49495093000.0,277.68155
21233,20.227764810492385,173.0,19.0,3016005.5,1362.4874,3.8,24.625,0.006968805,0.7336999,43270.62,197.8226,37334348000.0,277.57336
21234,20.182728965210625,172.0,19.0,2660824.5,1362.4425,3.8874998,26.375,0.0069652735,0.7342236,43258.105,197.77097,39241330000.0,277.6687
21235,20.137695898632877,175.0,19.0,4142808.5,1362.2821,4.125,30.625,0.006971422,0.7347473,43245.69,197.71881,47416360000.0,277.8307
21236,20.092661442703122,176.0,19.0,17484140.0,1362.0028,3.8500001,25.125002,0.0069953864,0.73527104,43233.39,197.66617,38015558000.0,278.0213
21237,20.047624208069358,194.0,19.0,27293880.0,1361.8724,3.5,21.0,0.007019024,0.7357947,43221.184,197.61305,29211690000.0,278.10382
21238,20.002589752139603,206.0,19.0,58930036.0,1361.9388,2.0625,8.375,0.007005451,0.7363184,43209.086,197.55942,6669782500.0,278.08783
21239,19.957555296209847,207.0,19.0,28198162.0,1361.5834,1.35,5.375,0.0069970638,0.7368421,43197.09,197.50531,2715713500.0,277.97174
21240,19.91251806157608,205.0,19.0,42194300.0,1361.8618,1.75,6.625,0.006999583,0.7373658,43185.19,197.45071,3716515000.0,277.87103
21241,19.86748638435034,197.0,19.0,55355850.0,1362.4403,2.05,9.625,0.007023125,0.7378895,43173.4,197.39565,7453298000.0,277.78824
21242,19.822451928420584,188.00645,19.0,213752740.0,1362.5616,2.8625,15.125,0.0070453584,0.7384132,43161.703,197.34015,16675475000.0,277.78842
21243,19.777416083138824,195.0,19.0,117295300.0,1362.7128,1.5,6.375,0.0070536514,0.7389369,43150.105,197.28415,4001975800.0,277.9357
21244,19.732383016561077,209.0,19.0,16614569.0,1362.5331,1.5375,6.875,0.007048887,0.7394606,43138.613,197.22766,3985086700.0,278.1153
21245,19.6873443925753,223.0,19.0,7524322.0,1362.1388,3.1625,20.625,0.0070535783,0.7399843,43127.22,197.17072,27598834000.0,278.24832
21246,19.64230993664555,232.0,19.0,3660370.2,1361.7211,3.9999998,28.25,0.0070635215,0.74050796,43115.918,197.11334,42905997000.0,278.32898
21247,19.5972768700678,233.0,19.0,7585539.0,1361.0875,4.3875,39.25,0.0070911655,0.7410317,43104.715,197.05547,62288544000.0,278.09714
21248,19.55224102478604,251.0,19.0,18843570.0,1360.9589,4.4,35.5,0.0071428595,0.7415554,43093.61,196.9972,57160710000.0,277.97015
21249,19.507206568856287,256.0,19.0,70682250.0,1360.9115,3.875,26.499998,0.007166881,0.7420791,43082.598,196.93845,41570394000.0,277.97443
21250,19.46217211292653,251.0,19.0,140414370.0,1361.3525,3.45,22.375,0.0071707154,0.74260277,43071.684,196.8793,32065230000.0,278.05658
21251,19.41713626764477,255.0,19.0,117013860.0,1361.4875,3.35,19.75,0.0071671526,0.74312645,43060.863,196.8197,26335461000.0,278.21008
21252,19.372101811715016,242.0,19.0,12002973.0,1362.3019,3.2625,18.0,0.0071430355,0.7436502,43050.137,196.75969,22600750000.0,278.28058
21253,19.32706457708125,235.0,19.0,9805762.0,1362.1039,3.3499997,22.375,0.0071023023,0.7441739,43039.504,196.69923,31180067000.0,278.25806
21254,19.282030121151497,232.0,19.0,20704236.0,1362.026,5.0875,64.375,0.00706466,0.7446976,43028.96,196.63837,96112500000.0,278.29254
21255,19.23699983327776,238.0,19.0,40141644.0,1362.0903,4.8375,47.75,0.0070705255,0.74522126,43018.508,196.57707,79724814000.0,278.3162
21256,19.19195981993998,227.0,19.0,30115578.0,1361.6318,2.775,19.5,0.0070730736,0.74574494,43008.152,196.5154,29535530000.0,278.19275
21257,19.146926753362234,217.0,19.0,5433768.0,1361.5101,3.55,23.375,0.0070577958,0.74626863,42997.887,196.45334,33219052000.0,278.0983
21258,19.101892297432478,214.0,19.0,14337341.0,1361.6694,2.8625,16.375,0.007047032,0.7467924,42987.703,196.3912,20165052000.0,278.09723
21259,19.101892297432478,208.0,19.0,13692186.0,1361.6981,3.7625,27.0,0.007059547,0.74731606,42977.613,196.32878,40471420000.0,278.14594
21260,19.169242525286208,210.0,19.0,15662159.0,1361.8398,4.175,33.75,0.0070793815,0.74783975,42967.617,196.26585,53087650000.0,278.23193
21261,19.236589974435923,220.0,19.0,19642062.0,1361.591,4.8,44.250004,0.007068455,0.74836344,42957.703,196.2026,69956520000.0,278.1411
21262,19.30393742358564,232.0,19.0,31813872.0,1361.1094,4.5,37.5,0.0070317723,0.7488871,42947.883,196.13907,61340460000.0,277.97455
21263,19.371284872735355,224.0,19.0,34585812.0,1360.966,4.25,33.0,0.007021514,0.74941087,42938.14,196.07518,52971460000.0,277.87415
21264,19.438632321885073,266.0,19.0,44726908.0,1361.2646,3.1375,23.625,0.0070321755,0.74993455,42928.492,196.01105,35702526000.0,277.83453
21265,19.505979771034788,268.0,19.0,20570798.0,1361.1765,3.4125,20.625,0.0070678033,0.75045824,42918.92,195.94666,28214897000.0,277.83575
21266,19.573328609536514,274.0,19.0,6041258.0,1361.2849,3.9125,27.125,0.0070897336,0.7509819,42909.44,195.882,40716820000.0,277.953
21267,19.640674669334224,258.0,19.0,6258957.0,1360.968,4.1625,33.375,0.007100315,0.7515056,42900.04,195.81703,52424580000.0,277.9932
21268,19.70802072913193,284.0,19.0,9586025.0,1360.3763,3.7875,27.125002,0.007084693,0.7520293,42890.727,195.7518,42225086000.0,278.01862
21269,19.775365399577638,302.0,19.0,2316032.0,1360.6431,3.05,16.75,0.00706681,0.75255305,42881.496,195.6863,21387778000.0,278.0349
21270,19.84271840613538,295.0,19.0,3645415.5,1360.1263,2.8374999,14.875,0.0070599257,0.75307673,42872.344,195.62059,16500533000.0,278.03308
21271,19.910065855285094,332.0,19.0,4392786.5,1360.0045,2.2125,10.125,0.007078413,0.7536004,42863.273,195.5546,8671629000.0,278.06763
21272,19.97741469378682,344.0,19.0,9785590.0,1359.7075,3.75,31.499998,0.0071087168,0.7541241,42854.285,195.48837,49036370000.0,278.14175
21273,20.044760753584526,338.0,19.0,42441540.0,1359.6884,3.2375,17.875,0.007116369,0.7546478,42845.38,195.42192,24165906000.0,278.14935
21274,20.112109592086252,331.0,19.0,13112287.0,1360.1542,3.3874998,19.125,0.0070963264,0.75517154,42836.555,195.35527,24542150000.0,278.1095
21275,20.179458430587975,326.0,19.0,3011750.0,1361.2295,4.275,34.25,0.007091795,0.7556952,42827.805,195.2884,53965177000.0,278.17175
21276,20.246804490385685,302.0,19.0,1872669.6,1361.6888,3.2375,18.375,0.007111267,0.7562189,42819.12,195.2213,25528095000.0,278.24524
21277,20.3141519395354,295.0,19.0,1022071.6,1361.425,4.3125,35.5,0.007142357,0.7567426,42810.527,195.154,56120570000.0,278.2563
21278,20.381500778037122,290.0,19.0,816711.6,1361.2466,3.7875,26.25,0.0071660755,0.7572663,42802.01,195.08652,41114292000.0,278.27454
21279,20.448846837834832,289.0,19.0,1740675.9,1361.3771,3.5875,23.0,0.007172214,0.75778997,42793.574,195.01883,33174934000.0,278.42297
21280,20.516192897632543,283.0,19.0,10324063.0,1361.8018,3.2,17.25,0.0071673607,0.7583137,42785.203,194.95096,21750403000.0,278.4664
21281,20.58354173613427,272.0,19.0,5564482.0,1361.8689,2.225,9.125,0.0071494486,0.7588374,42776.914,194.88293,7459779600.0,278.43585
21282,20.65089057463599,250.0,19.0,10665444.0,1361.5641,2.0,9.0,0.0071214074,0.7593611,42768.695,194.81468,6600651300.0,278.50482
21283,20.718239413137713,244.0,19.0,13263470.0,1362.0652,1.2375,4.875,0.0071142064,0.7598848,42760.555,194.74628,2334419500.0,278.5489
21284,20.785584083583416,216.0,19.0,15682128.0,1362.4723,1.7875,7.25,0.007111689,0.76040846,42752.48,194.67773,4403347000.0,278.63794
21285,20.852934311437146,196.0,19.0,15902236.0,1362.6511,1.3750001,5.5000005,0.0070928605,0.7609322,42744.484,194.609,2750732500.0,278.73782
21286,20.920284539290876,179.0,19.0,14590253.0,1362.6013,1.5,5.5,0.0070830598,0.7614559,42736.55,194.54013,2611731200.0,278.8526
21287,20.98763198844059,177.0,19.0,10232487.0,1362.27,3.2,19.5,0.007082848,0.7619796,42728.695,194.4711,25303917000.0,278.92664
21288,21.054976658886297,188.0,19.0,3002278.0,1362.6547,3.675,24.75,0.00710414,0.76250327,42720.91,194.40193,36002173000.0,278.9318
21289,21.054976658886297,197.0,19.0,2115195.0,1362.4729,4.25,31.75,0.0071210177,0.76302695,42713.19,194.33247,49497010000.0,278.94162
21290,21.061960931421584,207.0,19.0,11616939.0,1362.2251,5.125,54.125,0.0071617486,0.76355064,42705.547,194.26295,83539720000.0,278.91595
21291,21.06893964654885,213.0,19.0,3689928.5,1361.9857,4.825,44.25,0.007203581,0.7640744,42697.965,194.19324,72859490000.0,278.9762
21292,21.07592669778815,221.0,19.0,5989860.0,1361.8944,3.7374997,23.875,0.007208773,0.7645981,42690.45,194.12343,38172690000.0,278.8888
21293,21.082908191619428,226.0,19.0,3709041.0,1361.814,2.9875,15.375,0.0072255284,0.76512176,42683.004,194.05345,18371040000.0,278.76022
21294,21.08989663221074,229.0,19.0,7658744.5,1361.8345,2.7875,14.0,0.00724841,0.76564544,42675.62,193.98334,14802826000.0,278.7166
21295,21.096876736690007,237.0,19.0,6792145.5,1361.9894,1.6375,6.5,0.0072613056,0.76616913,42668.31,193.9131,4082053400.0,278.84564
