Day,sea-ice,atmos-near-surface-air-temp
21184,,277
21185,,277
21186,,276
21187,,276
21188,,276
21189,,277
21190,,277
21191,,277
21192,,278
21193,,278
21194,,277
21195,,277
21196,,277
21197,,277
21198,,277
21199,,277
21200,,277
21201,,277
21202,,278
21203,,278
21204,,278
21205,,278
21206,,278
21207,,278
21208,,278
21209,,278
21210,,278
21211,,278
21212,,277
21213,,277
21214,,277
21215,,277
21216,,277
21217,,277
21218,,277
21219,,277
21220,,277
21221,,277
21222,,277
21223,,277
21224,,277
21225,,277
21226,,277
21227,,277
21228,,277
21229,,277
21230,,277
21231,,277
21232,,277
21233,,277
21234,,277
21235,,277
21236,,278
21237,,278
21238,,278
21239,,277
21240,,277
21241,,277
21242,,277
21243,,277
21244,,278
21245,,278
21246,,278
21247,,277
21248,,277
21249,,277
21250,,278
21251,,278
21252,,278
21253,,278
21254,,278
21255,,278
21256,,278
21257,,278
21258,,278
21259,,278
21260,,278
21261,,277
21262,,277
21263,,277
21264,,277
21265,,277
21266,,277
21267,,277
21268,,277
21269,,277
21270,,277
21271,,278
21272,,278
21273,,278
21274,,278
21275,,278
21276,,278
21277,,278
21278,,278
21279,,278
21280,,278
21281,,278
21282,,278
21283,,278
21284,,278
21285,,278
21286,,278
21287,,278
21288,,278
21289,,278
21290,,278
21291,,278
21292,,278
21293,,278
21294,,278
21295,,278
21296,,278
21297,,278
21298,,278
21299,,279
21300,,279
21301,,279
21302,,279
21303,,279
21304,,279
21305,,279
21306,,279
21307,,279
21308,,279
21309,,279
21310,,279
21311,,280
21312,,280
21313,,280
21314,,280
21315,,280
21316,,279
21317,,279
21318,,280
21319,,280
21320,,280
21321,,280
21322,,280
21323,,280
21324,,280
21325,,280
21326,,280
21327,,280
21328,,280
21329,,280
21330,,280
21331,,280
21332,,280
21333,,280
21334,,280
21335,,280
21336,,280
21337,,281
21338,,281
21339,,281
21340,,281
21341,,281
21342,,281
21343,,281
21344,,281
21345,,281
21346,,281
21347,,281
21348,,281
21349,,281
21350,,281
21351,,281
21352,,281
21353,,281
21354,,281
21355,,281
21356,,281
21357,,281
21358,,281
21359,,281
21360,,281
21361,,281
21362,,281
21363,,281
21364,,281
21365,,281
21366,,281
21367,,281
21368,,281
21369,,281
21370,,281
21371,,281
21372,,281
21373,,281
21374,,281
21375,,281
21376,,281
21377,,281
21378,,281
21379,,281
21380,,281
21381,,281
21382,,281
21383,,281
21384,,281
21385,,281
21386,,282
21387,,281
21388,,281
21389,,281
21390,,281
21391,,281
21392,,281
21393,,281
21394,,281
21395,,281
21396,,281
21397,,281
21398,,281
21399,,281
21400,,281
21401,,281
21402,,281
21403,,281
21404,,281
21405,,281
21406,,281
21407,,281
21408,,281
21409,,281
21410,,281
21411,,281
21412,,281
21413,,281
21414,,281
21415,,281
21416,,281
21417,,281
21418,,281
21419,,281
21420,,281
21421,,281
21422,,281
21423,,281
21424,,281
21425,,281
21426,,281
21427,,281
21428,,281
21429,,281
21430,,281
21431,,281
21432,,281
21433,,280
21434,,280
21435,,280
21436,,280
21437,,280
21438,,280
21439,,280
21440,,280
21441,,280
21442,,280
21443,,280
21444,,280
21445,,280
21446,,280
21447,,280
21448,,280
21449,,280
21450,,280
21451,,280
21452,,280
21453,,280
21454,,280
21455,,280
21456,,280
21457,,280
21458,,279
21459,,280
21460,,280
21461,,279
21462,,279
21463,,279
21464,,280
21465,,279
21466,,279
21467,,279
21468,,279
21469,,279
21470,,279
21471,,279
21472,,279
21473,,279
21474,,279
21475,,279
21476,,279
21477,,279
21478,,278
21479,,278
21480,,278
21481,,278
21482,,278
21483,,278
21484,,278
21485,,278
21486,,278
21487,,278
21488,,278
21489,,278
21490,,278
21491,,278
21492,,278
21493,,278
21494,,278
21495,,278
21496,,278
21497,,278
21498,,278
21499,,278
21500,,278
21501,,277
21502,,277
21503,,277
21504,,278
21505,,278
21506,,278
21507,,278
21508,,278
21509,,278
21510,,278
21511,,278
21512,,278
21513,,277
21514,,277
21515,,277
21516,,278
21517,,278
21518,,278
21519,,278
21520,,278
21521,,278
21522,,278
21523,,278
21524,,278
21525,,278
21526,,278
21527,,278
21528,,277
21529,,277
21530,,277
21531,,277
21532,,277
21533,,278
21534,,278
21535,,278
21536,,278
21537,,278
21538,,278
21539,,278
21540,,278
21541,,277
21542,,277
21543,,277
21544,,277
21545,,277
21546,,277
21547,,277
21548,,277
21549,,277
21550,,277
21551,,277
21552,,277
21553,,277
21554,,277
21555,,277
21556,,277
21557,,277
21558,,277
21559,,277
21560,,277
21561,,277
21562,,277
21563,,277
21564,,277
21565,,277
21566,,277
21567,,277
21568,,277
21569,,277
21570,,277
21571,,277
21572,,277
21573,,277
21574,,277
21575,,277
21576,,277
21577,,277
21578,,277
21579,,277
21580,,277
21581,,277
21582,,277
21583,,277
21584,,277
21585,,277
21586,,277
21587,,277
21588,,277
21589,,277
21590,,277
21591,,277
21592,,277
21593,,277
21594,,277
21595,,277
21596,,277
21597,,277
21598,,277
21599,,277
21600,,277
21601,,277
21602,,277
21603,,277
21604,,277
21605,,277
21606,,277
21607,,278
21608,,278
21609,,277
21610,,277
21611,,277
21612,,277
21613,,277
21614,,277
21615,,278
21616,,278
21617,,278
21618,,278
21619,,278
21620,,278
21621,,277
21622,,277
21623,,277
21624,,277
21625,,277
21626,,277
21627,,278
21628,,278
21629,,278
21630,,278
21631,,278
21632,,278
21633,,278
21634,,278
21635,,278
21636,,278
21637,,278
21638,,278
21639,,278
21640,,278
21641,,278
21642,,278
21643,,278
21644,,278
21645,,278
21646,,279
21647,,279
21648,,279
21649,,278
21650,,278
21651,,279
21652,,279
21653,,279
21654,,279
21655,,279
21656,,279
21657,,279
21658,,279
21659,,279
21660,,279
21661,,279
21662,,279
21663,,279
21664,,279
21665,,279
21666,,279
21667,,279
21668,,279
21669,,279
21670,,279
21671,,279
21672,,279
21673,,279
21674,,279
21675,,279
21676,,280
21677,,280
21678,,280
21679,,280
21680,,280
21681,,280
21682,,280
21683,,280
21684,,280
21685,,280
21686,,280
21687,,280
21688,,280
21689,,280
21690,,280
21691,,280
21692,,281
21693,,281
21694,,281
21695,,281
21696,,281
21697,,281
21698,,281
21699,,281
21700,,281
21701,,281
21702,,281
21703,,281
21704,,281
21705,,281
21706,,281
21707,,281
21708,,281
21709,,281
21710,,281
21711,,281
21712,,281
21713,,281
21714,,281
21715,,281
21716,,281
21717,,281
21718,,281
21719,,281
21720,,281
21721,,281
21722,,281
21723,,281
21724,,281
21725,,281
21726,,281
21727,,281
21728,,281
21729,,281
21730,,281
21731,,281
21732,,281
21733,,281
21734,,281
21735,,281
21736,,281
21737,,281
21738,,281
21739,,281
21740,,281
21741,,281
21742,,281
21743,,281
21744,,281
21745,,281
21746,,281
21747,,281
21748,,281
21749,,281
21750,,281
21751,,281
21752,,281
21753,,281
21754,,281
21755,,281
21756,,281
21757,,282
21758,,281
21759,,281
21760,,281
21761,,281
21762,,281
21763,,281
21764,,281
21765,,281
21766,,281
21767,,281
21768,,281
21769,,281
21770,,281
21771,,281
21772,,281
21773,,281
21774,,281
21775,,281
21776,,281
21777,,281
21778,,281
21779,,281
21780,,281
21781,,281
21782,,281
21783,,281
21784,,281
21785,,281
21786,,281
21787,,281
21788,,281
21789,,281
21790,,281
21791,,280
21792,,280
21793,,280
21794,,280
21795,,280
21796,,280
21797,,281
21798,,281
21799,,280
21800,,280
21801,,280
21802,,280
21803,,280
21804,,280
21805,,280
21806,,280
21807,,280
21808,,280
21809,,280
21810,,280
21811,,280
21812,,280
21813,,280
21814,,280
21815,,280
21816,,280
21817,,280
21818,,280
21819,,280
21820,,280
21821,,280
21822,,279
21823,,279
21824,,279
21825,,279
21826,,279
21827,,279
21828,,279
21829,,280
21830,,279
21831,,279
21832,,279
21833,,279
21834,,279
21835,,279
21836,,279
21837,,279
21838,,279
21839,,279
21840,,279
21841,,279
21842,,278
21843,,278
21844,,278
21845,,279
21846,,278
21847,,279
21848,,278
21849,,278
21850,,278
21851,,278
21852,,278
21853,,278
21854,,278
21855,,278
21856,,278
21857,,278
21858,,278
21859,,278
21860,,278
21861,,278
21862,,278
21863,,278
21864,,278
21865,,278
21866,,278
21867,,278
21868,,278
21869,,278
21870,,278
21871,,278
21872,,278
21873,,278
21874,,278
21875,,278
21876,,278
21877,,278
21878,,278
21879,,277
21880,,277
21881,,277
21882,,277
21883,,277
21884,,278
21885,,278
21886,,278
21887,,278
21888,,278
21889,,277
21890,,277
21891,,277
21892,,277
21893,,277
21894,,277
21895,,277
21896,,277
21897,,277
21898,,277
21899,,277
21900,,277
21901,,277
21902,,277
21903,,277
21904,,277
21905,,277
21906,,277
21907,,277
21908,,277
21909,,277
21910,,277
21911,,277
21912,,277
21913,,277
21914,,277
21915,,277
21916,,277
21917,,277
21918,,277
21919,,278
21920,,277
21921,,277
21922,,277
21923,,278
21924,,277
21925,,277
21926,,277
21927,,277
21928,,277
21929,,277
21930,,277
21931,,277
21932,,277
21933,,277
21934,,277
21935,,277
21936,,277
21937,,277
21938,,277
21939,,277
21940,,277
21941,,277
21942,,277
21943,,277
21944,,277
21945,,277
21946,,277
21947,,277
21948,,277
21949,,277
21950,,277
21951,,277
21952,,277
21953,,277
21954,,277
21955,,277
21956,,277
21957,,277
21958,,277
21959,,277
21960,,277
21961,,277
21962,,277
21963,,277
21964,,277
21965,,278
21966,,278
21967,,277
21968,,277
21969,,277
21970,,277
21971,,277
21972,,277
21973,,277
21974,,277
21975,,277
21976,,277
21977,,277
21978,,277
21979,,277
21980,,277
21981,,277
21982,,277
21983,,277
21984,,277
21985,,277
21986,,277
21987,,277
21988,,277
21989,,277
21990,,277
21991,,277
21992,,277
21993,,277
21994,,277
21995,,277
21996,,277
21997,,277
21998,,277
21999,,277
22000,,277
22001,,277
22002,,278
